school,testoptional?,appliestoclassyear(s),numberofapplicants,sat25,sat75,accept_rate
Biola University,Yes,2021,4149,1080.0,1310.0,0.705
Ursinus College,Yes,All / Permanent Policy,3361,1140.0,1320.0,0.7090000000000001
Montclair State,Yes,All / Permanent Policy,14324,990.0,1170.0,0.7090000000000001
Clarkson University,Yes,2021,6885,1160.0,1350.0,0.711
Michigan State University,Yes,2021,44322,1100.0,1320.0,0.711
Hollins University,Yes,2021,3244,1070.0,1300.0,0.7120000000000001
Creighton University,Yes,All / Permanent Policy,10112,1150.0,1350.0,0.7140000000000001
California Lutheran University,Yes,All / Permanent Policy,5752,1070.0,1250.0,0.715
University of Mary Washington,Yes,All / Permanent Policy,5909,1050.0,1269.0,0.718
Christopher Newport University,Yes*,All / Permanent Policy,7204,1110.0,1280.0,0.7190000000000001
University of California—Merced,Yes,2021 2022 2023 2024,25368,980.0,1180.0,0.72
Mercer University,Yes,2021 2022 2023,5454,1180.0,1340.0,0.72
University of Dayton,Yes,2021,17462,1120.0,1320.0,0.72
Lewis & Clark College,Yes,All / Permanent Policy,5863,1220.0,1400.0,0.722
Hendrix College,Yes,All / Permanent Policy,1545,1153.0,1390.0,0.722
University of Rhode Island,Yes,2021,21259,1012.0,1345.0,0.723
California State University--Chico,Yes (TB),2021,25908,990.0,1180.0,0.723
Stetson University,Yes,All / Permanent Policy,13005,1110.0,1300.0,0.7240000000000001
Quinnipiac University,Yes,All / Permanent Policy,22753,1090.0,1260.0,0.725
Duquesne University,Yes,All / Permanent Policy,7411,1130.0,1300.0,0.725
University of Illinois—​Chicago,Yes,2021,22696,1030.0,1260.0,0.727
University of Akron,Yes,2021,14553,990.0,1230.0,0.73
St. John's University (NY),Yes,All / Permanent Policy,27276,1070.0,1270.0,0.731
University of Cincinnati,Yes,2021 2022,23296,1160.0,1370.0,0.731
Simmons University,Yes,2021,2933,1110.0,1290.0,0.731
Wayne State University,Yes,2021,15716,1010.0,1230.0,0.731
Butler University,Yes,All / Permanent Policy,14891,1150.0,1330.0,0.732
Point Loma Nazarene University,Yes,2021,3277,1140.0,1310.0,0.737
University of North Texas,Yes*,2021,21540,1060.0,1250.0,0.737
University of North Georgia,Yes,2021,6498,1108.0,1273.0,0.737
Xavier University,Yes,All / Permanent Policy,15100,1070.0,1250.0,0.738
Wheaton College (MA),Yes,All / Permanent Policy,3460,1150.0,1340.0,0.7390000000000001
Eastern Michigan,Yes*,2021,14323,970.0,1190.0,0.741
University of Washington--Bothell,Yes,2021,4242,1038.0,1250.0,0.741
Adelphi University,Yes,2021,13006,1080.0,1270.0,0.742
Baldwin Wallace University,Yes,All / Permanent Policy,3926,1030.0,1250.0,0.742
Michigan Technological University,Yes,2021,5978,1170.0,1370.0,0.743
Drexel University,Yes,2021,31824,1190.0,1390.0,0.747
